,Unnamed: 0,movie,lifetime_collection,opening_day,end_of_opening_weekend,end_of_week_1,end_of_week_2,end_of_week_3,end_of_week_4,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_15,day_18,day_19,day_22,day_29,day_14,day_16,day_17,day_20,day_21,day_23,day_24,day_25,day_26,day_27,day_28,day_30,end_of_opening_week,year
368,543,James,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022.0
369,547,Jassi Weds Jassi,0.35,0.04,0.16,0.25,0.35,0.0,0.0,0.04,0.05,0.07,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
370,548,Jatadhara,1.35,0.2,0.9,1.3,1.35,0.0,0.0,0.2,0.3,0.4,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025.0
371,548,Jatadhara,1.35,0.2,0.9,1.3,1.35,0.0,0.0,0.2,0.3,0.4,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025.0
372,550,Jawaani Jaaneman,28.98,3.24,12.83,20.21,26.64,28.19,28.76,3.24,4.55,5.04,2.03,1.94,1.86,1.55,1.04,1.58,1.67,0.68,0.64,0.43,0.28,0.15,0.14,0.57,0.19,0.39,0.33,0.43,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
373,551,Jawan,643.87,75.0,286.16,391.33,528.39,584.32,619.92,75.0,53.23,77.83,80.1,32.92,26.52,23.83,21.9,19.1,32.3,37.26,16.25,14.8,7.95,14.95,5.45,5.97,1.86,9.4,7.61,12.25,4.86,4.84,5.05,8.46,9.38,6.85,2.05,1.95,1.14,0,2023.0
374,552,Jeena Hai Toh Thok Daal,0.36,,,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
375,553,Jeena Isi Ka Naam Hai,0.19,,,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
376,556,Jersey,19.68,2.93,12.21,17.2,19.03,19.63,19.68,2.93,4.34,4.94,1.45,1.32,1.2,1.02,1.83,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019.0
377,557,Jewel Thief,1.75,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
378,558,Jhootha Hi Sahi,10.91,,5.0,7.49,0.0,0.0,0.0,5.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
379,559,Jhootha Kahin Ka,2.57,0.92,1.87,2.57,0.0,0.0,0.0,0.92,0.45,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
